"id","Time","VE","Fb","VT","PO2","PCO2","ScO2"
"IHLTF02",1353.43,36.75390244,25.2631588,1.307914972,73.36896515,42.87980652,94.5499118597864
"IHLTF02",1355.805,36.38322067,25.5863533,1.278369546,68.17970276,42.81635666,93.3249350307884
"IHLTF02",1358.15,34.20978165,25.2631588,1.217380524,64.2358551,43.02785873,92.1499759667288
"IHLTF02",1360.525,37.49393845,24.74226761,1.362339258,61.53743744,43.53545761,91.1918828843957
"IHLTF02",1362.95,36.50953674,23.57563782,1.392215848,58.42387009,43.59891129,89.8957018574042
"IHLTF02",1365.495,41.93748093,24.39024353,1.54578793,56.1405983,43.32395935,88.7911259159499
"IHLTF02",1367.955,44.52201462,21.97802162,1.821167707,54.27246094,43.23935699,87.77432045939
"IHLTF02",1370.685,46.5163002,22.59886932,1.850470543,52.81946564,42.96440887,86.9042359992794
"IHLTF02",1373.34,48.08647919,24.24242401,1.783243418,51.15890503,42.85865402,85.8154858225719
"IHLTF02",1375.815,53.49807358,22.98850632,2.092141867,49.91347885,42.98555756,84.9264910810127
"IHLTF02",1378.425,58.79814529,23.12138748,2.286195993,48.46048355,43.51430511,83.8033776524676
"IHLTF02",1381.02,58.96637344,21.31438637,2.487111807,48.04534149,43.19705582,83.4643580079357
"IHLTF02",1383.835,64.71835327,22.51407051,2.584265709,62.57528687,42.24530792,91.5769846273363
"IHLTF02",1386.5,59.10585785,22.30483246,2.382293463,81.67178345,40.32064819,95.9684675483493
"IHLTF02",1389.19,51.3125,18.23708153,2.529481649,92.67302704,39.26314545,97.1915633890864
"IHLTF02",1392.48,45.91866302,18.34862328,2.249828815,102.2212753,39.8130455,97.8859165194917
"IHLTF02",1395.75,40.0193367,17.56954575,2.047731876,108.0332565,41.06090164,98.2006658343374
"IHLTF02",1399.165,42.07350159,17.24137878,2.1938169,113.2225189,40.68019867,98.4314474208687
"IHLTF02",1402.645,29.23205376,20.83333397,1.261433244,104.5045547,42.13955688,98.0176060810898
"IHLTF02",1405.525,28.82154655,18.89763832,1.371113658,94.33359528,43.95846176,97.3318385630022
"IHLTF02",1408.7,29.76994896,20.97902107,1.275723577,83.95506287,44.00075912,96.2723808823345
"IHLTF02",1411.56,34.02882385,22.09944725,1.384296894,77.52037048,45.03711319,95.3282183893279
"IHLTF02",1414.275,33.13972473,20.27026939,1.469782472,72.12352753,44.06420898,94.2841918444924
"IHLTF02",1417.235,30.90467453,15.50387573,1.792039633,69.84025574,44.06420898,93.7522219743721
"IHLTF02",1421.105,47.32123947,22.77039909,1.868310928,62.57528687,42.83750534,91.5769846273363
"IHLTF02",1423.74,47.23793793,22.01834869,1.928723216,62.36771393,42.43565369,91.5016890767907
"IHLTF02",1426.465,45.19132233,22.51407051,1.804532766,56.97088242,41.4627533,89.2093779602307
"IHLTF02",1429.13,45.53995895,22.55639076,1.815042257,53.44217682,41.37815094,87.2861136359226
"IHLTF02",1431.79,43.07317734,21.352314,1.813533783,50.74375916,42.24530792,85.5263532451623
"IHLTF02",1434.6,49.44047165,22.59886932,1.966797233,49.08319092,43.28165436,84.2965372918208
"IHLTF02",1437.255,55.67237473,24.0480957,2.0812428,47.21505737,44.36031342,82.7607768559742
"IHLTF02",1439.75,64.81513977,25.69593239,2.267648935,47.00748825,44.55066299,82.5794031259574
"IHLTF02",1442.085,76.50009918,18.80877686,3.656496286,62.99042511,42.07610321,91.7250619402538
"IHLTF02",1445.275,66.60264587,25.5863533,2.340166807,75.65223694,39.89764786,94.9970637607334
"IHLTF02",1447.62,51.69412613,25.21008492,1.843446732,91.01246643,37.99414063,97.041467309709
"IHLTF02",1450,43.34249878,27.97202873,1.393008232,97.23958588,38.45944214,97.5559786536744
"IHLTF02",1452.145,39.63956833,23.85685921,1.493754983,104.5045547,39.09394455,98.0176060810898
"IHLTF02",1454.66,47.48786163,22.68431091,1.882004857,108.6559753,40.27834702,98.2306291495505
"IHLTF02",1457.305,28.57208824,23.76237679,1.080975413,111.1468124,41.56850052,98.3441093943382
"IHLTF02",1459.83,27.00867844,24.29149818,0.999568939,110.108963,42.56255722,98.2980278617585
"IHLTF02",1462.3,28.77654457,23.71541595,1.090866566,103.8818436,42.9221077,97.9827876473927
"IHLTF02",1464.83,28.36410332,22.72727203,1.121980906,96.20172119,44.00075912,97.4788698397474
"IHLTF02",1467.47,34.54688263,22.38805962,1.387254477,89.35189819,44.31800842,96.8806947658809
"IHLTF02",1470.15,33.51050568,23.2108326,1.297938108,82.7096405,44.19111252,96.1104599757181
"IHLTF02",1472.735,34.33470154,23.30097008,1.324716687,75.65223694,43.76810837,94.9970637607334
